epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1188,1.19806,2.90904,1.24843,0.58605,0.2722,0.49716,0.31774,1.29712,2.53863,1.15722,0.000272,0.000272,0.000272
2,107.098,1.05721,1.42847,1.17534,0.59359,0.55281,0.63575,0.44283,1.06643,2.02634,1.09627,0.000538783,0.000538783,0.000538783
3,152.349,1.00637,1.21449,1.15249,0.70577,0.64662,0.70977,0.50456,1.00913,1.35219,1.11837,0.000794571,0.000794571,0.000794571
4,196.473,0.98401,1.13824,1.15341,0.63724,0.66429,0.71651,0.50676,0.99159,1.37576,1.11949,0.00078352,0.00078352,0.00078352
5,242.269,0.98033,1.04182,1.1406,0.70571,0.75447,0.79776,0.58775,0.90408,1.23537,1.01815,0.000767026,0.000767026,0.000767026
6,288.523,0.97822,0.98445,1.13339,0.8647,0.88303,0.93638,0.69746,0.91651,0.77368,1.03636,0.000750533,0.000750533,0.000750533
7,335.057,0.93982,0.91126,1.11997,0.84174,0.84807,0.91072,0.69209,0.84613,0.87722,1.03865,0.00073404,0.00073404,0.00073404
8,379.661,0.90897,0.85919,1.1068,0.83129,0.84603,0.90364,0.69127,0.78856,0.77168,0.99577,0.000717546,0.000717546,0.000717546
9,423.928,0.89846,0.82503,1.09971,0.84012,0.86453,0.90147,0.69795,0.77166,0.7556,0.97798,0.000701053,0.000701053,0.000701053
10,472.982,0.89824,0.81562,1.0999,0.87636,0.8681,0.93753,0.72502,0.78128,0.71857,1.00488,0.000684559,0.000684559,0.000684559
11,519.587,0.89398,0.77538,1.09944,0.83499,0.85166,0.91439,0.65723,1.04761,0.75039,1.07448,0.000668066,0.000668066,0.000668066
12,564.768,0.88105,0.74485,1.09337,0.89791,0.89805,0.95384,0.77691,0.69136,0.58724,0.94848,0.000651573,0.000651573,0.000651573
13,611.29,0.8516,0.71684,1.08012,0.91862,0.93091,0.96879,0.7917,0.6826,0.53127,0.93491,0.000635079,0.000635079,0.000635079
14,658.503,0.85178,0.693,1.07671,0.91108,0.91389,0.96471,0.76985,0.7269,0.54595,0.96368,0.000618586,0.000618586,0.000618586
15,703.527,0.86406,0.69786,1.08669,0.91806,0.91313,0.96479,0.77124,0.74568,0.54525,0.97008,0.000602092,0.000602092,0.000602092
16,751.066,0.82933,0.67089,1.07346,0.89916,0.90704,0.95539,0.76507,0.73852,0.55555,0.95957,0.000585599,0.000585599,0.000585599
17,799.665,0.84474,0.66144,1.0729,0.93588,0.92752,0.9713,0.79603,0.67186,0.49226,0.93873,0.000569106,0.000569106,0.000569106
18,849.734,0.82718,0.64319,1.06826,0.89485,0.87745,0.95122,0.77192,0.67659,0.55495,0.94412,0.000552612,0.000552612,0.000552612
19,901.411,0.82787,0.63437,1.07198,0.94033,0.93562,0.97217,0.77234,0.77215,0.47413,0.96281,0.000536119,0.000536119,0.000536119
20,950.639,0.81381,0.61797,1.05819,0.93501,0.95682,0.97953,0.79931,0.6816,0.45127,0.9424,0.000519625,0.000519625,0.000519625
21,999.96,0.81043,0.60395,1.06264,0.92863,0.93301,0.97063,0.80132,0.65208,0.46824,0.92644,0.000503132,0.000503132,0.000503132
22,1048.39,0.80713,0.58849,1.06234,0.92779,0.93804,0.97788,0.81752,0.62155,0.45032,0.91533,0.000486639,0.000486639,0.000486639
23,1096.8,0.78618,0.58711,1.05194,0.92195,0.92173,0.97077,0.79681,0.67339,0.47961,0.92853,0.000470145,0.000470145,0.000470145
24,1144.69,0.78338,0.56535,1.04526,0.94681,0.94741,0.9806,0.79244,0.72061,0.42676,0.94461,0.000453652,0.000453652,0.000453652
25,1192.74,0.79752,0.57917,1.05529,0.94648,0.94951,0.98067,0.82643,0.61652,0.40957,0.91381,0.000437158,0.000437158,0.000437158
26,1241.46,0.79448,0.55592,1.04892,0.94549,0.94293,0.97937,0.80594,0.67268,0.42055,0.92599,0.000420665,0.000420665,0.000420665
27,1289.44,0.78659,0.54991,1.04799,0.94947,0.94813,0.98352,0.82205,0.61813,0.39657,0.911,0.000404172,0.000404172,0.000404172
28,1337.82,0.76484,0.53566,1.04448,0.95639,0.94849,0.98361,0.82407,0.61034,0.39409,0.91648,0.000387678,0.000387678,0.000387678
